model,track,split,metric,value
Melody-G1,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,SAMPLE_TEST,AUC,0.914261249
Melody-G1,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,VALID,AUC,0.905715466
Melody-G1,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,TEST,AUC,0.905528892
Melody-G1,GSM5652338_Prostate-Epithelial-Z000000RV,SAMPLE_VALID,AUC,0.915474149
Melody-G1,GSM5652338_Prostate-Epithelial-Z000000RV,SAMPLE_TEST,AUC,0.922602278
Melody-G1,GSM5652338_Prostate-Epithelial-Z000000RV,VALID,AUC,0.908351244
Melody-G1,GSM5652338_Prostate-Epithelial-Z000000RV,TEST,AUC,0.908958134
Melody-G1,GSM5652342_Bladder-Epithelial-Z000000QM,SAMPLE_VALID,AUC,0.888111606
Melody-G1,GSM5652342_Bladder-Epithelial-Z000000QM,SAMPLE_TEST,AUC,0.905601839
Melody-G1,GSM5652342_Bladder-Epithelial-Z000000QM,VALID,AUC,0.897445125
Melody-G1,GSM5652342_Bladder-Epithelial-Z000000QM,TEST,AUC,0.897795798
Melody-G1,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,SAMPLE_VALID,AUC,0.916728815
Melody-G1,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,SAMPLE_TEST,AUC,0.917246718
Melody-G1,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,VALID,AUC,0.905367487
Melody-G1,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,TEST,AUC,0.90506349
Melody-G1,GSM5652350_Breast-Basal-Epithelial-Z000000V6,SAMPLE_VALID,AUC,0.915420247
Melody-G1,GSM5652350_Breast-Basal-Epithelial-Z000000V6,SAMPLE_TEST,AUC,0.914624841
Melody-G1,GSM5652350_Breast-Basal-Epithelial-Z000000V6,VALID,AUC,0.903276195
Melody-G1,GSM5652350_Breast-Basal-Epithelial-Z000000V6,TEST,AUC,0.903501763
Melody-G1,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,SAMPLE_VALID,AUC,0.909519234
Melody-G1,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,SAMPLE_TEST,AUC,0.914252251
Melody-G1,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,VALID,AUC,0.906774445
Melody-G1,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,TEST,AUC,0.907703295
