gene,score
KIF20A,-0.0181347864952553
SERPINE1,-0.0181221689169607
PDIA2,-0.0179865970662289
TSLP,-0.0179152764289782
SHCBP1,-0.0178776921537223
CHST15,-0.0178674012212715
SERPINH1,0.0227257484185418
G0S2,0.022721300010873
CAPN13,0.0227080688488554
CLPS,0.0226464755097536
ADAM12,-0.0177295027246959
PROM1,0.0225386871663255
FGF2,-0.0177005986273217
HILPDA,0.0224864468900092
TGFB3,-0.0175582258124481
FBN1,-0.0174877105527103
ITM2A,-0.0174847575027432
GATA1,-0.0173706623806638
PLAT,-0.0172304372387011
CTHRC1,-0.0172018016004978
NELL2,-0.017164664756889
PLTP,-0.0171367450095038
HEYL,-0.0171269909949382
CYP27A1,0.0217298753736612
CALD1,-0.016905959660787
UPP1,0.0214523631624083
GPRC5B,-0.016833654674004
ANGPT2,-0.0168097618132697
ANLN,0.0213974994658862
THBS1,0.0212974673203402
FGFBP1,-0.0166893131586957
ADAMTS14,-0.0165837192420219
LTC4S,-0.016573607282504
THY1,-0.0165399604072041
FRMD6,0.0210383190493635
SNAI2,-0.0165192890556078
LTBP1,-0.0164940538994754
GNG11,-0.0164611229149936
KDR,-0.016440451563854
MT1E,0.0209183260998023
MYOM1,-0.0163568712941746
TYMP,0.020778258284073
HPX,-0.0163172288322458
CCBE1,-0.0162655057103643
CD74,0.0206703558784919
ELF3,-0.0161859523273358
FLI1,-0.0161832677360829
CPVL,-0.0161430883558122
MSC,-0.0160553022270057
SERTM1,0.0203813234316957
GREM1,-0.0159681425023225
TNFRSF10D,-0.0159225939400029
COMP,-0.015919551403341
WDFY4,0.0201514890269373
FAS,-0.0158179843733181
ITGB3,-0.0157723463247604
HABP2,-0.0156947616417099
HMCN1,-0.0155088089644946
REG3G,-0.0154549381697023
MCTP1,-0.0154534169013714
ACKR3,-0.015393103088303
NPTX1,-0.0153692102271119
PLA2G7,0.0195558586252295
RNF186,-0.0153143550823305
RHOJ,-0.0152869722532873
TMEM26,-0.0152636163104381
F5,0.0193687973730133
PCDH7,-0.0152143093206386
CXCL17,-0.0151391407696699
KLK10,-0.0151098787268866
PENK,-0.015106388758121
CTSH,-0.0150746210970178
CALB1,-0.0150393634671489
PDGFD,-0.0149563201158113
SPON2,-0.0149539039837295
TYRP1,-0.0149451343196096
ABCA1,-0.0148131419234249
HSD17B2,-0.0147941708130923
KYNU,-0.0146517085119806
PTGDS,-0.0146332743195333
DOK3,-0.0145814617114138
VNN1,-0.01457850866099
EFNB2,-0.014572065642714
AKR1C2,0.0184742111527051
THBS2,0.0184403348160827
SCARA3,-0.0144718409080891
SRGN,-0.0144686193984944
CTSK,0.0183961929229433
PCOLCE,-0.0144488429106491
SPOCK1,-0.0143908557429677
ASPN,-0.0143404749164843
PLA2G4A,-0.0143379692981644
SLCO2A1,-0.0143368954619373
AKAP7,-0.0142270061994417
SULF2,-0.0142013236112055
PLXDC1,0.0180729419542299
PRSS3,0.0179941252923075
DYSF,0.0179569411654718
OLR1,0.0179078946177979
CD52,-0.0140321943718685
CYTIP,-0.0140256618668977
SERPINF1,-0.0139500458838252
AREG,-0.0138235121568409
CD300A,0.0174663616254154
TRPV6,-0.0137169338897213
CLDN5,-0.0137142492989252
LAMA2,-0.0136975153477417
CMKLR1,-0.0136444499300055
COL10A1,0.0173520717625494
KRT23,-0.0135413616316517
PI3,-0.0135129944526193
PTGS2,-0.0134771104181705
