config,track,split,metric,value
with CpG-count loss,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,VALID,Spearman,0.7040279503935355
with CpG-count loss,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,VALID,AUC,0.9080689409919427
with CpG-count loss,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,VALID,Accuracy,0.8833114917378091
with CpG-count loss,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,VALID,MAE,0.1328391108773412
with CpG-count loss,GSM5652370_Colon-Right-Epithelial-Z000000V0,VALID,Pearson,0.7814005814199595
with CpG-count loss,GSM5652370_Colon-Right-Epithelial-Z000000V0,VALID,Spearman,0.6424596334517955
with CpG-count loss,GSM5652370_Colon-Right-Epithelial-Z000000V0,VALID,AUC,0.9108627090726138
with CpG-count loss,GSM5652370_Colon-Right-Epithelial-Z000000V0,VALID,Accuracy,0.8953541762942424
with CpG-count loss,GSM5652370_Colon-Right-Epithelial-Z000000V0,VALID,MAE,0.1330964058916649
with CpG-count loss,GSM5652378_Small-int-Epithelial-Z0000042V,VALID,Pearson,0.7672663188498176
with CpG-count loss,GSM5652378_Small-int-Epithelial-Z0000042V,VALID,Spearman,0.6378423119770701
with CpG-count loss,GSM5652378_Small-int-Epithelial-Z0000042V,VALID,AUC,0.9077241465831251
with CpG-count loss,GSM5652378_Small-int-Epithelial-Z0000042V,VALID,Accuracy,0.8843402302468457
with CpG-count loss,GSM5652378_Small-int-Epithelial-Z0000042V,VALID,MAE,0.1401382956691689
with CpG-count loss,GSM5652176_Adipocytes-Z000000T7,TEST,Pearson,0.815208667483783
with CpG-count loss,GSM5652176_Adipocytes-Z000000T7,TEST,Spearman,0.6989126027936996
with CpG-count loss,GSM5652176_Adipocytes-Z000000T7,TEST,AUC,0.9118785597591075
with CpG-count loss,GSM5652176_Adipocytes-Z000000T7,TEST,Accuracy,0.9024402343838228
with CpG-count loss,GSM5652176_Adipocytes-Z000000T7,TEST,MAE,0.1173945951753084
with CpG-count loss,GSM5652179_Aorta-Endothel-Z00000422,TEST,Pearson,0.780647038558923
with CpG-count loss,GSM5652179_Aorta-Endothel-Z00000422,TEST,Spearman,0.6957789411646716
with CpG-count loss,GSM5652179_Aorta-Endothel-Z00000422,TEST,AUC,0.9011468498256804
with CpG-count loss,GSM5652179_Aorta-Endothel-Z00000422,TEST,Accuracy,0.8705759173271519
with CpG-count loss,GSM5652179_Aorta-Endothel-Z00000422,TEST,MAE,0.1362024364641271
with CpG-count loss,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,TEST,Pearson,0.7951274366750343
with CpG-count loss,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,TEST,Spearman,0.620389611269821
with CpG-count loss,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,TEST,AUC,0.910130028155209
with CpG-count loss,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,TEST,Accuracy,0.9109471218881867
with CpG-count loss,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,TEST,MAE,0.1231367324949437
with CpG-count loss,GSM5652198_Colon-Fibroblasts-Z0000042A,TEST,Pearson,0.8116213704717224
with CpG-count loss,GSM5652198_Colon-Fibroblasts-Z0000042A,TEST,Spearman,0.705164577227603
with CpG-count loss,GSM5652198_Colon-Fibroblasts-Z0000042A,TEST,AUC,0.9079206220498276
with CpG-count loss,GSM5652198_Colon-Fibroblasts-Z0000042A,TEST,Accuracy,0.900315120558248
with CpG-count loss,GSM5652198_Colon-Fibroblasts-Z0000042A,TEST,MAE,0.1150937703163339
with CpG-count loss,GSM5652200_Heart-Fibroblasts-Z0000043R,TEST,Pearson,0.7200043802523127
with CpG-count loss,GSM5652200_Heart-Fibroblasts-Z0000043R,TEST,Spearman,0.6849213050091013
with CpG-count loss,GSM5652200_Heart-Fibroblasts-Z0000043R,TEST,AUC,0.858977735340277
with CpG-count loss,GSM5652200_Heart-Fibroblasts-Z0000043R,TEST,Accuracy,0.7711615888200388
with CpG-count loss,GSM5652200_Heart-Fibroblasts-Z0000043R,TEST,MAE,0.1768576871796571
with CpG-count loss,GSM5652204_Dermal-Fibroblasts-Z00000423,TEST,Pearson,0.7844154468435837
with CpG-count loss,GSM5652204_Dermal-Fibroblasts-Z00000423,TEST,Spearman,0.6972162771187567
