model,track,split,metric,value
iDNA-ABT,Gastric-fundus-Epithelial,VALID,Pearson,0.4286973706202267
iDNA-ABT,Gastric-fundus-Epithelial,VALID,Spearman,0.3648551655700401
iDNA-ABT,Gastric-fundus-Epithelial,VALID,AUC,0.724231670104278
iDNA-ABT,Gastric-fundus-Epithelial,TEST,Pearson,0.4251609775566438
iDNA-ABT,Gastric-fundus-Epithelial,TEST,Spearman,0.3586524353363015
iDNA-ABT,Gastric-fundus-Epithelial,TEST,AUC,0.725811523957475
iDNA-ABT,Heart-Cardiomyocyte,VALID,Pearson,0.3696800499088418
iDNA-ABT,Heart-Cardiomyocyte,VALID,Spearman,0.1807810660590428
iDNA-ABT,Heart-Cardiomyocyte,VALID,AUC,0.6637733715357679
iDNA-ABT,Heart-Cardiomyocyte,TEST,Pearson,0.3495172343206135
iDNA-ABT,Heart-Cardiomyocyte,TEST,Spearman,0.1795290859813943
iDNA-ABT,Heart-Cardiomyocyte,TEST,AUC,0.6636980270066395
iDNA-ABT,Heart-Fibroblasts,VALID,Pearson,0.3793632365170369
iDNA-ABT,Heart-Fibroblasts,VALID,Spearman,0.3513945205199908
iDNA-ABT,Heart-Fibroblasts,VALID,AUC,0.6813394610637684
iDNA-ABT,Heart-Fibroblasts,TEST,Pearson,0.3671481272194984
iDNA-ABT,Heart-Fibroblasts,TEST,Spearman,0.3456148934106318
iDNA-ABT,Heart-Fibroblasts,TEST,AUC,0.6779597286923436
iDNA-ABT,Kidney-Tubular-Endothel,VALID,Pearson,0.5099345373843941
iDNA-ABT,Kidney-Tubular-Endothel,VALID,Spearman,0.3674340001555555
iDNA-ABT,Kidney-Tubular-Endothel,VALID,AUC,0.7704500889872286
iDNA-ABT,Kidney-Tubular-Endothel,TEST,Pearson,0.5070084658623375
iDNA-ABT,Kidney-Tubular-Endothel,TEST,Spearman,0.364713064761435
iDNA-ABT,Kidney-Tubular-Endothel,TEST,AUC,0.7709666391586519
iDNA-ABT,Liver-Hepatocytes,VALID,Pearson,0.4370042467649208
iDNA-ABT,Liver-Hepatocytes,VALID,Spearman,0.3009600792275625
iDNA-ABT,Liver-Hepatocytes,VALID,AUC,0.7104763314858678
iDNA-ABT,Liver-Hepatocytes,TEST,Pearson,0.4232010494292988
iDNA-ABT,Liver-Hepatocytes,TEST,Spearman,0.2961906167314072
