model,fpr,tpr
Melody-MT,0.0001910604238207,0.010955911621971
Melody-MT,0.0001949072779916,0.0110857134066334
Melody-MT,0.0001974718474388,0.0112478855129029
Melody-MT,0.0001987541321625,0.011387622742811
Melody-MT,0.0002000364168861,0.0115235139939143
Melody-MT,0.0002026009863334,0.0116811991249116
Melody-MT,0.0002051655557806,0.0118148468883787
Melody-MT,0.0002064478405042,0.0119443281748074
Melody-MT,0.0002077301252279,0.0120904753693902
Melody-MT,0.0002102946946751,0.0122337380798694
Melody-MT,0.000214141548846,0.0123670653451028
Melody-MT,0.0002192706877405,0.0125173790167242
Melody-MT,0.0002205529724642,0.0126648082042419
Melody-MT,0.0002231175419114,0.0127952509853718
Melody-MT,0.0002256821113587,0.0129526156181353
Melody-MT,0.0002269643960823,0.0130849813886675
Melody-MT,0.0002295289655296,0.0132195906468359
Melody-MT,0.0002308112502532,0.0133836857425078
Melody-MT,0.000238504958595,0.0135564342904906
Melody-MT,0.0002397872433186,0.0136884795627891
Melody-MT,0.0002449163822131,0.0138657150860441
Melody-MT,0.0002500455211076,0.0140076958035884
Melody-MT,0.0002513278058313,0.0141544839946387
Melody-MT,0.0002538923752785,0.0143195405850118
Melody-MT,0.0002603037988967,0.0144663287760621
Melody-MT,0.0002603037988967,0.0146086299918401
Melody-MT,0.0002654329377912,0.0147743275786807
Melody-MT,0.0002654329377912,0.0149323332079116
Melody-MT,0.0002692797919621,0.0150810443883643
Melody-MT,0.000273126646133,0.0152457804805037
Melody-MT,0.0002795380697511,0.0154018631203323
Melody-MT,0.0002795380697511,0.0155496128060838
Melody-MT,0.000283384923922,0.0157153103929244
Melody-MT,0.0002846672086456,0.0158851744568035
Melody-MT,0.0002910786322638,0.0160649739659284
Melody-MT,0.0002923609169874,0.0162450939732871
Melody-MT,0.0002949254864347,0.0164053430901542
Melody-MT,0.0003000546253292,0.0165764891469683
Melody-MT,0.0003039014795001,0.0167559681578594
Melody-MT,0.000307748333671,0.016922947737635
Melody-MT,0.0003090306183946,0.0170828763562684
Melody-MT,0.0003128774725655,0.0172498559360439
Melody-MT,0.0003154420420127,0.0174264504628315
Melody-MT,0.00031800661146,0.0175876610743998
Melody-MT,0.0003244180350781,0.0177748320429006
Melody-MT,0.000328264889249,0.0179514265696881
Melody-MT,0.0003346763128672,0.0181135986759576
Melody-MT,0.0003346763128672,0.0182966031674199
Melody-MT,0.0003359585975908,0.0184719157012725
Melody-MT,0.0003398054517617,0.0186350493022432
Melody-MT,0.0003436523059326,0.018823502263679
Melody-MT,0.0003487814448271,0.019016442200387
Melody-MT,0.0003539105837216,0.0191895112466035
Melody-MT,0.0003603220073397,0.0194036040667379
Melody-MT,0.0003654511462343,0.0195702631482797
Melody-MT,0.0003692980004052,0.0197507036538721
Melody-MT,0.000373144854576,0.0199513355481897
Melody-MT,0.0003782739934706,0.0201256865873412
Melody-MT,0.0003834031323651,0.0203009991211938
Melody-MT,0.0003846854170887,0.0204958620473042
Melody-MT,0.0003910968407068,0.0207099548674387
Melody-MT,0.0003949436948777,0.0208849469030576
Melody-MT,0.0003987905490486,0.021084617302674
Melody-MT,0.0004013551184959,0.0212698652817724
Melody-MT,0.000407766542114,0.021460882229078
Melody-MT,0.0004141779657322,0.0216701675757064
Melody-MT,0.0004218716740739,0.0218477235971952
Melody-MT,0.0004282830976921,0.0220454710074092
Melody-MT,0.0004359768060339,0.0222521923681678
Melody-MT,0.0004385413754811,0.0224297483896566
Melody-MT,0.0004449527990993,0.0226287777928055
Melody-MT,0.0004500819379938,0.0228659464857689
Melody-MT,0.0004577756463356,0.0230547199454383
Melody-MT,0.0004616225005065,0.0232470188856789
Melody-MT,0.0004641870699537,0.023447009783529
Melody-MT,0.000466751639401,0.0236325782608612
Melody-MT,0.0004693162088482,0.023823274709933
Melody-MT,0.0004795744866373,0.0240299960706916
Melody-MT,0.0004808567713609,0.0242527423431369
Melody-MT,0.0004859859102554,0.0244552972268569
Melody-MT,0.0004936796185972,0.0246866969516131
Melody-MT,0.0005000910422153,0.0249081612311234
Melody-MT,0.0005065024658335,0.0251107161148434
Melody-MT,0.0005103493200044,0.0253376288643273
Melody-MT,0.0005141961741752,0.0255337737833726
Melody-MT,0.0005244544519643,0.0257328031865216
Melody-MT,0.0005257367366879,0.0259520239783958
Melody-MT,0.0005295835908588,0.026155540356817
Melody-MT,0.0005372772992006,0.0263879015762744
Melody-MT,0.0005424064380951,0.0266305187392112
Melody-MT,0.0005488178617132,0.0268372400999698
Melody-MT,0.000556511570055,0.0270654348423885
Melody-MT,0.0005590761395023,0.0273074110088579
Melody-MT,0.0005654875631204,0.0275202218360574
Melody-MT,0.0005731812714622,0.027752262557281
Melody-MT,0.0005744635561858,0.0279990461972564
Melody-MT,0.0005847218339749,0.0282102545332872
Melody-MT,0.0005872864034221,0.0284317188127976
Melody-MT,0.000591133257593,0.028667605512826
Melody-MT,0.0005975446812111,0.0288865058064665
Melody-MT,0.0006001092506584,0.0291054061001069
Melody-MT,0.0006078029590002,0.0293611636906269
Melody-MT,0.0006090852437238,0.0295666030584505
Melody-MT,0.000615496667342,0.0297762089033127
Melody-MT,0.0006219080909601,0.0300463889143506
Melody-MT,0.000625754945131,0.0302864420914176
Melody-MT,0.0006296017993019,0.0304944454451111
Melody-MT,0.0006398600770909,0.0307460365585925
Melody-MT,0.0006514006396036,0.0309687828310378
Melody-MT,0.0006616589173926,0.0312030670398975
Melody-MT,0.0006655057715635,0.031446004701068
Melody-MT,0.0006680703410107,0.0316677894788121
Melody-MT,0.0006757640493525,0.0319027146841393
Melody-MT,0.0006860223271416,0.0321613567587629
Melody-MT,0.0006937160354833,0.0324145503634129
Melody-MT,0.0007001274591015,0.0326405016181955
Melody-MT,0.0007026920285487,0.0328933747246118
Melody-MT,0.000715514875785,0.0331036215659415
Melody-MT,0.0007206440146795,0.0333459182306446
Melody-MT,0.0007309022924686,0.0336170597363837
Melody-MT,0.000739878285534,0.0338500619523085
Melody-MT,0.0007488542785994,0.0340901151293755
Melody-MT,0.0007565479869412,0.0343493982004665
Melody-MT,0.0007668062647302,0.0346067582821551
Melody-MT,0.0007719354036247,0.0348445679715859
Melody-MT,0.0007809113966901,0.0351298113996093
Melody-MT,0.0007937342439264,0.0353599291314305
Melody-MT,0.0008014279522682,0.0355964568279264
Melody-MT,0.0008116862300572,0.0358595858778222
Melody-MT,0.0008219445078463,0.0361380988429372
Melody-MT,0.0008283559314644,0.0363852029811463
Melody-MT,0.0008347673550825,0.0366659594338975
Melody-MT,0.0008411787787007,0.0369207555297162
Melody-MT,0.0008475902023188,0.0371912560389879
Melody-MT,0.0008527193412134,0.0374460521348066
Melody-MT,0.0008668244731733,0.0376848233189386
Melody-MT,0.0008809296051332,0.03793641443242
Melody-MT,0.0008937524523695,0.0382280678251182
Melody-MT,0.0009078575843294,0.0384831844191706
Melody-MT,0.0009206804315657,0.0387379805149893
Melody-MT,0.0009270918551838,0.0390116860065984
Melody-MT,0.0009347855635256,0.0392661616041834
Melody-MT,0.0009411969871438,0.0395206372017683
Melody-MT,0.0009463261260383,0.0398267130149845
Melody-MT,0.0009514552649328,0.0400783041284659
Melody-MT,0.0009604312579982,0.040336305206622
Melody-MT,0.0009655603968927,0.0406346890622285
Melody-MT,0.00096812496634,0.0408827546951388
Melody-MT,0.0009745363899581,0.0411465247415021
Melody-MT,0.0009835123830235,0.0414356141483304
Melody-MT,0.0009912060913653,0.0416926537317852
