model,track,split,metric,value
iDNA-ABT,Gallbladder-Epithelial,cell type specific,Spearman,0.1157841183352773
iDNA-ABT,Gallbladder-Epithelial,cell type specific,AUC,0.5844315016160674
iDNA-ABT,Gastric-fundus-Epithelial,VALID,Spearman,0.3648551655700401
iDNA-ABT,Gastric-fundus-Epithelial,VALID,AUC,0.724231670104278
iDNA-ABT,Gastric-fundus-Epithelial,TEST,Spearman,0.3586524353363015
iDNA-ABT,Gastric-fundus-Epithelial,TEST,AUC,0.725811523957475
iDNA-ABT,Gastric-fundus-Epithelial,cell type specific,Spearman,0.1358988170412609
iDNA-ABT,Gastric-fundus-Epithelial,cell type specific,AUC,0.5656810145260974
iDNA-ABT,Heart-Cardiomyocyte,VALID,Spearman,0.1807810660590428
iDNA-ABT,Heart-Cardiomyocyte,VALID,AUC,0.6637733715357679
iDNA-ABT,Heart-Cardiomyocyte,TEST,Spearman,0.1795290859813943
iDNA-ABT,Heart-Cardiomyocyte,TEST,AUC,0.6636980270066395
iDNA-ABT,Heart-Cardiomyocyte,cell type specific,Spearman,0.04021169028764696
iDNA-ABT,Heart-Cardiomyocyte,cell type specific,AUC,0.5186519166452277
iDNA-ABT,Heart-Fibroblasts,VALID,Spearman,0.3513945205199908
iDNA-ABT,Heart-Fibroblasts,VALID,AUC,0.6813394610637684
iDNA-ABT,Heart-Fibroblasts,TEST,Spearman,0.3456148934106318
iDNA-ABT,Heart-Fibroblasts,TEST,AUC,0.6779597286923436
iDNA-ABT,Heart-Fibroblasts,cell type specific,Spearman,0.07410734756025607
iDNA-ABT,Heart-Fibroblasts,cell type specific,AUC,0.52731464736045
iDNA-ABT,Kidney-Tubular-Endothel,VALID,Spearman,0.3674340001555555
iDNA-ABT,Kidney-Tubular-Endothel,VALID,AUC,0.7704500889872286
iDNA-ABT,Kidney-Tubular-Endothel,TEST,Spearman,0.364713064761435
iDNA-ABT,Kidney-Tubular-Endothel,TEST,AUC,0.7709666391586519
iDNA-ABT,Kidney-Tubular-Endothel,cell type specific,Spearman,0.2060771968939755
iDNA-ABT,Kidney-Tubular-Endothel,cell type specific,AUC,0.4073674351426916
iDNA-ABT,Liver-Hepatocytes,VALID,Spearman,0.3009600792275625
iDNA-ABT,Liver-Hepatocytes,VALID,AUC,0.7104763314858678
iDNA-ABT,Liver-Hepatocytes,TEST,Spearman,0.2961906167314072
iDNA-ABT,Liver-Hepatocytes,TEST,AUC,0.7069911788116912
iDNA-ABT,Liver-Hepatocytes,cell type specific,Spearman,0.1215712866178672
iDNA-ABT,Liver-Hepatocytes,cell type specific,AUC,0.5805065548071782
iDNA-ABT,Lung-Alveolar-Epithelial,VALID,Spearman,0.4240039649857663
iDNA-ABT,Lung-Alveolar-Epithelial,VALID,AUC,0.7594538183659505
iDNA-ABT,Lung-Alveolar-Epithelial,TEST,Spearman,0.4209494406221671
iDNA-ABT,Lung-Alveolar-Epithelial,TEST,AUC,0.7604517600641749
iDNA-ABT,Lung-Alveolar-Epithelial,cell type specific,Spearman,0.133890159266339
iDNA-ABT,Lung-Alveolar-Epithelial,cell type specific,AUC,0.5533339865621482
iDNA-ABT,Lung-Bronchus-Epithelial,VALID,Spearman,0.401366057281588
iDNA-ABT,Lung-Bronchus-Epithelial,VALID,AUC,0.753473706466149
