input_length_bp,track,MAE_valid
10000,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,0.1241102245708364
10000,GSM5652350_Breast-Basal-Epithelial-Z000000V6,0.131513713674124
10000,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,0.1251552574367226
10000,GSM5652358_Gallbladder-Epithelial-Z00000432,0.1344264472563962
10000,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,0.1348866209928882
10000,GSM5652370_Colon-Right-Epithelial-Z000000V0,0.138009771583534
10000,GSM5652378_Small-int-Epithelial-Z0000042V,0.1435293708467938
20000,GSM5652176_Adipocytes-Z000000T7,0.1237196508145898
20000,GSM5652179_Aorta-Endothel-Z00000422,0.1378922384854522
20000,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,0.1301308567715733
20000,GSM5652198_Colon-Fibroblasts-Z0000042A,0.1172451310178307
20000,GSM5652200_Heart-Fibroblasts-Z0000043R,0.1746394243125598
20000,GSM5652204_Dermal-Fibroblasts-Z00000423,0.1360477300442434
20000,GSM5652205_Skeletal-Muscle-Z00000427,0.1301937314781224
20000,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,0.145247730355742
20000,GSM5652215_Heart-Cardiomyocyte-Z0000044P,0.1871232958673732
20000,GSM5652218_Bone-Osteoblasts-Z0000042Z,0.1527013737633244
20000,GSM5652219_Oligodendrocytes-Z000000TK,0.1206103253548708
20000,GSM5652223_Cortex-Neuron-Z000000TF,0.1041078684124397
20000,GSM5652233_Liver-Hepatocytes-Z000000R3,0.1285415257126643
20000,GSM5652239_Pancreas-Duct-Z0000043T,0.1282418501030709
20000,GSM5652243_Pancreas-Acinar-Z000000QX,0.1573705162444892
20000,GSM5652247_Pancreas-Delta-Z00000451,0.1377947117014217
20000,GSM5652250_Pancreas-Beta-Z00000452,0.1363013078044079
20000,GSM5652253_Pancreas-Alpha-Z00000453,0.1322896285831488
20000,GSM5652264_Thyroid-Epithelial-Z0000042S,0.12975764307834
20000,GSM5652267_Fallopian-Epithelial-Z000000Q7,0.1341090956822266
20000,GSM5652270_Ovary-Epithelial-Z000000QT,0.1663890980358867
20000,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,0.1099391938360985
20000,GSM5652277_Blood-T-CD3-Z000000TV,0.1137551504229171
20000,GSM5652299_Blood-NK-Z000000TM,0.1107062726226506
20000,GSM5652302_Blood-Monocytes-Z000000TP,0.1181367617925742
20000,GSM5652313_Blood-Granulocytes-Z000000TZ,0.1160786338523388
20000,GSM5652317_Blood-B-Z000000UB,0.1192667767207897
20000,GSM5652321_Epidermal-Keratinocytes-Z00000424,0.1303720700393209
20000,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,0.1404763060394185
20000,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,0.1302598602503242
20000,GSM5652338_Prostate-Epithelial-Z000000RV,0.1239587187061123
20000,GSM5652342_Bladder-Epithelial-Z000000QM,0.1425970752375801
20000,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,0.1252958083417541
20000,GSM5652350_Breast-Basal-Epithelial-Z000000V6,0.1300730847800362
20000,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,0.1240839533566747
20000,GSM5652358_Gallbladder-Epithelial-Z00000432,0.1335713564567899
20000,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,0.1340361872861979
20000,GSM5652370_Colon-Right-Epithelial-Z000000V0,0.1356453931541375
20000,GSM5652378_Small-int-Epithelial-Z0000042V,0.1409911930307622
50000,GSM5652176_Adipocytes-Z000000T7,0.1282067561737333
50000,GSM5652179_Aorta-Endothel-Z00000422,0.1513071997212806
50000,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,0.1380880460228803
50000,GSM5652198_Colon-Fibroblasts-Z0000042A,0.1231850215530965
50000,GSM5652200_Heart-Fibroblasts-Z0000043R,0.1938276782086183
50000,GSM5652204_Dermal-Fibroblasts-Z00000423,0.145186087408824
50000,GSM5652205_Skeletal-Muscle-Z00000427,0.1326264818505812
50000,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,0.1584386886911362
50000,GSM5652215_Heart-Cardiomyocyte-Z0000044P,0.1901489278964131
50000,GSM5652218_Bone-Osteoblasts-Z0000042Z,0.1649962165084132
50000,GSM5652219_Oligodendrocytes-Z000000TK,0.131830862020168
50000,GSM5652223_Cortex-Neuron-Z000000TF,0.1088826021103668
50000,GSM5652233_Liver-Hepatocytes-Z000000R3,0.1448419346063085
50000,GSM5652239_Pancreas-Duct-Z0000043T,0.1437074861236999
50000,GSM5652243_Pancreas-Acinar-Z000000QX,0.1798762350231552
50000,GSM5652247_Pancreas-Delta-Z00000451,0.1428516303812768
50000,GSM5652250_Pancreas-Beta-Z00000452,0.1422765359427966
50000,GSM5652253_Pancreas-Alpha-Z00000453,0.139687474256859
50000,GSM5652264_Thyroid-Epithelial-Z0000042S,0.13276637461466
50000,GSM5652267_Fallopian-Epithelial-Z000000Q7,0.1523691452257909
50000,GSM5652270_Ovary-Epithelial-Z000000QT,0.1902468727083364
50000,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,0.1213117606972208
50000,GSM5652277_Blood-T-CD3-Z000000TV,0.1244053897423113
50000,GSM5652299_Blood-NK-Z000000TM,0.1189417089215963
50000,GSM5652302_Blood-Monocytes-Z000000TP,0.1291968724007463
50000,GSM5652313_Blood-Granulocytes-Z000000TZ,0.1294842289426989
50000,GSM5652317_Blood-B-Z000000UB,0.1272643961062413
50000,GSM5652321_Epidermal-Keratinocytes-Z00000424,0.1413277342254284
50000,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,0.154279652575265
