model,recall,precision
Melody-MT,0.9999987180070652,0.8002494000318546
Melody-MT,0.9999983975088312,0.8002585850254084
Melody-MT,0.9999983975088312,0.800265153137607
Melody-MT,0.9999980770105976,0.8002735174617457
Melody-MT,0.9999980770105976,0.8002825489837496
Melody-MT,0.9999980770105976,0.8002907596351961
Melody-MT,0.999997756512364,0.8003024088829723
Melody-MT,0.999997756512364,0.8003087724410208
Melody-MT,0.9999971155158964,0.8003189340206207
Melody-MT,0.9999971155158964,0.8003279665764456
Melody-MT,0.9999967950176628,0.8003412592836942
Melody-MT,0.999996474519429,0.8003496252366319
Melody-MT,0.9999961540211952,0.8003616868458855
Melody-MT,0.9999961540211952,0.8003760584660611
Melody-MT,0.9999958335229616,0.8003893527990921
Melody-MT,0.9999958335229616,0.8004022881323974
Melody-MT,0.9999958335229616,0.8004180985520214
Melody-MT,0.9999958335229616,0.8004275440358043
Melody-MT,0.9999958335229616,0.8004408912951291
Melody-MT,0.9999958335229616,0.8004597835615447
Melody-MT,0.9999958335229616,0.8004712836386073
Melody-MT,0.9999958335229616,0.800485043093562
Melody-MT,0.9999955130247276,0.800501216352748
Melody-MT,0.9999955130247276,0.8005184683836399
Melody-MT,0.9999955130247276,0.8005324348580627
Melody-MT,0.9999955130247276,0.8005525638696713
Melody-MT,0.999995192526494,0.8005677128275234
Melody-MT,0.999995192526494,0.8005890761501135
Melody-MT,0.999995192526494,0.8006050993903076
Melody-MT,0.9999948720282602,0.8006270298732161
Melody-MT,0.9999948720282602,0.8006444927891018
Melody-MT,0.9999948720282602,0.8006652438324963
Melody-MT,0.9999948720282602,0.8006857904797685
Melody-MT,0.9999948720282602,0.8007059272172307
Melody-MT,0.9999948720282602,0.8007277089102767
Melody-MT,0.9999948720282602,0.8007474367492815
Melody-MT,0.9999945515300264,0.8007716357517892
Melody-MT,0.999993910533559,0.8007935242996606
Melody-MT,0.999993910533559,0.800816749551355
Melody-MT,0.9999935900353252,0.8008372528762921
Melody-MT,0.9999932695370916,0.800865568633571
Melody-MT,0.9999932695370916,0.8008918817354449
Melody-MT,0.9999929490388578,0.8009193790135877
Melody-MT,0.999992628540624,0.8009454389565517
Melody-MT,0.999992628540624,0.8009762809676554
Melody-MT,0.999992628540624,0.8010052746239398
Melody-MT,0.9999919875441566,0.801036841691788
Melody-MT,0.9999919875441566,0.8010730381763743
Melody-MT,0.9999919875441566,0.8011026559151767
Melody-MT,0.9999919875441566,0.8011357727858734
Melody-MT,0.9999916670459228,0.8011694585014785
