distance_window,model,meQTL_dataset,score
150,CpGenie,GTEX_BreastMammaryTissue,0.275392728619325
150,CpGenie,GTEX_ColonTransverse,0.2686933217072013
150,CpGenie,GTEX_KidneyCortex,0.254995418343643
150,CpGenie,GTEX_Lung,0.2611712021096561
150,CpGenie,GTEX_MuscleSkeletal,0.1985517382664284
150,CpGenie,GTEX_Ovary,0.1902169385102488
150,CpGenie,GTEX_Prostate,0.2255490890756401
150,CpGenie,GTEX_Testis,0.2735826680953992
150,CpGenie,GTEX_WholeBlood,0.2410940184924573
150,CpGenie,MDSs,0.3082147068675076
150,CpGenie,skin,0.3065147058631811
150,INTERACT,CPG_units,0.4309014019014248
150,INTERACT,EPIC,0.3243135612084924
150,INTERACT,GTEX_BreastMammaryTissue,0.3876026635053911
150,INTERACT,GTEX_ColonTransverse,0.3949364754706346
150,INTERACT,GTEX_KidneyCortex,0.3824373812550009
150,INTERACT,GTEX_Lung,0.3887533739901906
150,INTERACT,GTEX_MuscleSkeletal,0.3096559421314785
150,INTERACT,GTEX_Ovary,0.3337888768864908
150,INTERACT,GTEX_Prostate,0.4033015408934641
150,INTERACT,GTEX_Testis,0.3637280236059488
150,INTERACT,GTEX_WholeBlood,0.3654530651506607
150,INTERACT,MDSs,0.42042881117829
150,INTERACT,skin,0.3874948870300606
150,Melody-MT,CPG_units,0.5350450297710598
150,Melody-MT,EPIC,0.3218121880788239
150,Melody-MT,GTEX_BreastMammaryTissue,0.5532072894472767
150,Melody-MT,GTEX_ColonTransverse,0.5172038569610934
150,Melody-MT,GTEX_KidneyCortex,0.5291869000608275
150,Melody-MT,GTEX_Lung,0.52984993691859
150,Melody-MT,GTEX_MuscleSkeletal,0.4754266729569125
150,Melody-MT,GTEX_Ovary,0.4815927799756649
150,Melody-MT,GTEX_Prostate,0.5707992424387432
150,Melody-MT,GTEX_Testis,0.4698207927193263
150,Melody-MT,GTEX_WholeBlood,0.4439319928937786
150,Melody-MT,MDSs,0.5113419118454802
150,Melody-MT,skin,0.4554261788232011
200,CpGenie,CPG_units,0.3072699987538819
200,CpGenie,EPIC,0.1740947644710537
200,CpGenie,GTEX_BreastMammaryTissue,0.2701591704115889
200,CpGenie,GTEX_ColonTransverse,0.2674799682598318
200,CpGenie,GTEX_KidneyCortex,0.2523598403250916
200,CpGenie,GTEX_Lung,0.2647156174720403
200,CpGenie,GTEX_MuscleSkeletal,0.2082476958365147
200,CpGenie,GTEX_Ovary,0.2022222470772314
200,CpGenie,GTEX_Prostate,0.2218735206702341
200,CpGenie,GTEX_Testis,0.2657119282434659
200,CpGenie,GTEX_WholeBlood,0.2416064257599713
200,CpGenie,MDSs,0.3322782675101593
200,CpGenie,skin,0.3014751930618099
200,INTERACT,CPG_units,0.4230392781102457
200,INTERACT,EPIC,0.3161909731763571
200,INTERACT,GTEX_BreastMammaryTissue,0.3779608670681396
200,INTERACT,GTEX_ColonTransverse,0.3937336649784877
200,INTERACT,GTEX_KidneyCortex,0.3800648857377504
200,INTERACT,GTEX_Lung,0.3888636837721286
200,INTERACT,GTEX_MuscleSkeletal,0.3006438968932839
200,INTERACT,GTEX_Ovary,0.3362400307817973
200,INTERACT,GTEX_Prostate,0.3952408484151845
200,INTERACT,GTEX_Testis,0.3522282119959501
200,INTERACT,GTEX_WholeBlood,0.3588604873300035
200,INTERACT,MDSs,0.4336031213332609
200,INTERACT,skin,0.388534346367776
200,Melody-MT,CPG_units,0.5241882771745362
200,Melody-MT,EPIC,0.3246685593982881
200,Melody-MT,GTEX_BreastMammaryTissue,0.5345997157735328
200,Melody-MT,GTEX_ColonTransverse,0.5100915388421791
200,Melody-MT,GTEX_KidneyCortex,0.5252476778614993
200,Melody-MT,GTEX_Lung,0.5257107799558836
200,Melody-MT,GTEX_MuscleSkeletal,0.4667787928320086
200,Melody-MT,GTEX_Ovary,0.4755731997317629
200,Melody-MT,GTEX_Prostate,0.5533507470519734
200,Melody-MT,GTEX_Testis,0.453902866441508
200,Melody-MT,GTEX_WholeBlood,0.4322455664182135
200,Melody-MT,MDSs,0.5230626511221154
200,Melody-MT,skin,0.4476095069994241
500,CpGenie,CPG_units,0.2816808949714681
500,CpGenie,EPIC,0.1625075280266038
500,CpGenie,GTEX_BreastMammaryTissue,0.2571522907900165
500,CpGenie,GTEX_ColonTransverse,0.2591871562706708
500,CpGenie,GTEX_KidneyCortex,0.2279241181649849
500,CpGenie,GTEX_Lung,0.2484171104550144
500,CpGenie,GTEX_MuscleSkeletal,0.1972784630150639
500,CpGenie,GTEX_Ovary,0.1898163476768401
500,CpGenie,GTEX_Prostate,0.2322932920103835
500,CpGenie,GTEX_Testis,0.2373054048446373
500,CpGenie,GTEX_WholeBlood,0.2350117763641164
500,CpGenie,MDSs,0.3164557715892069
500,CpGenie,skin,0.2672114130336838
500,INTERACT,CPG_units,0.3825718188205698
500,INTERACT,EPIC,0.2760322961958996
500,INTERACT,GTEX_BreastMammaryTissue,0.3544351107289498
500,INTERACT,GTEX_ColonTransverse,0.3768989054060461
500,INTERACT,GTEX_KidneyCortex,0.3510896932655403
500,INTERACT,GTEX_Lung,0.3673582123708257
500,INTERACT,GTEX_MuscleSkeletal,0.2746664561815668
500,INTERACT,GTEX_Ovary,0.3217657722957299
500,INTERACT,GTEX_Prostate,0.388121342877258
500,INTERACT,GTEX_Testis,0.3149380877011252
500,INTERACT,GTEX_WholeBlood,0.338190763302649
500,INTERACT,MDSs,0.4029895737181935
500,INTERACT,skin,0.3628659288450005
500,Melody-MT,CPG_units,0.4759352015260403
500,Melody-MT,EPIC,0.2925932684562902
500,Melody-MT,GTEX_BreastMammaryTissue,0.5014763221578546
500,Melody-MT,GTEX_ColonTransverse,0.4828945958853775
500,Melody-MT,GTEX_KidneyCortex,0.4843172303885657
500,Melody-MT,GTEX_Lung,0.4936303060679814
500,Melody-MT,GTEX_MuscleSkeletal,0.4269419727081852
500,Melody-MT,GTEX_Ovary,0.4587440629434252
500,Melody-MT,GTEX_Prostate,0.5418698815807617
500,Melody-MT,GTEX_Testis,0.4060860997798406
500,Melody-MT,GTEX_WholeBlood,0.404929470559261
500,Melody-MT,MDSs,0.506954136666858
500,Melody-MT,skin,0.3945307022947707
1000,CpGenie,CPG_units,0.2565872862277488
1000,CpGenie,EPIC,0.120207385598962
1000,CpGenie,GTEX_BreastMammaryTissue,0.2430880961298858
1000,CpGenie,GTEX_ColonTransverse,0.2507479991493629
1000,CpGenie,GTEX_KidneyCortex,0.2120177011705759
1000,CpGenie,GTEX_Lung,0.2370374025504966
1000,CpGenie,GTEX_MuscleSkeletal,0.1851500738576616
1000,CpGenie,GTEX_Ovary,0.1766134595224779
1000,CpGenie,GTEX_Prostate,0.2307894787990245
1000,CpGenie,GTEX_Testis,0.2197033575115059
1000,CpGenie,GTEX_WholeBlood,0.2105850124735579
