observed,predicted
-0.52,-0.0018942555
-0.77,-0.015322754
-0.64,-0.82679653
-0.56,-0.026469814
-0.677,-0.91046375
0.842,1.9538716
0.54,0.6768374
0.53,-0.0005154219
-0.69,0.055434372
-0.791,-0.08590562
-0.62,-0.1846484
-0.58,-0.20421599
-0.762,-0.0002078414
0.55,0.5384829
-0.73,-0.83378285
0.699,-0.00035432834
0.54,0.002096817
0.604,0.7906192
-0.61,0.01878941
-0.77,0.0020233488
-0.791,-0.023040932
0.57,0.025170347
0.55,0.023590187
-0.513,-0.8175509
