observed,predicted
1.06371,0.27469793
-0.988289,-0.006108582
-0.99877,-0.052012205
-0.924391,-0.07923415
1.01412,-0.0069098473
0.964715,-0.0001565814
-0.94197,-0.16550624
1.02566,0.030471206
0.956245,0.00035852194
-1.0166,-0.0057066977
0.924765,-0.00083988905
0.865916,-0.0013686419
1.05035,0.04998079
0.984941,-0.0024576783
0.987248,0.14708355
-0.970178,-0.00034612417
-1.05427,0.00036660023
-0.911995,-0.0037983954
-0.978672,-0.004311703
1.02206,-0.011633217
-1.0168,-0.0020569563
1.01647,0.003354013
-1.02323,-0.0019988418
-1.01949,-0.28317803
0.811122,-0.00088101625
-0.966366,-0.018445134
-1.05169,-0.15031135
-0.901213,0.0022180676
1.01103,-0.0002980791
1.00579,-0.006139878
-0.975573,0.1930672
0.85771,0.0038937926
-0.967111,-0.011612758
-0.995547,-0.13956907
-0.97918,-0.0030312538
-0.925183,-0.041950345
-0.736855,-0.07816517
0.904001,-0.0065965652
-0.679136,0.00050991774
1.03368,-0.0024346858
-0.733043,0.0016151071
0.907902,-0.049919993
0.930839,0.00033342838
-0.865564,-0.33791196
0.903545,-4.3809414e-05
0.71988,2.5242567e-05
0.791477,-0.026768088
0.925461,0.010109395
0.871223,0.33728546
0.958821,-0.0019822717
1.00063,0.12336931
-0.951112,0.00093090534
-0.977866,-0.14392687
0.978714,0.1794253
0.515474,0.098608255
0.828676,0.001003325
-0.860729,-0.0012593269
1.04804,-0.005005121
0.936138,0.003830757
0.951545,0.13559306
0.684733,-0.00058060884
-0.728799,0.06932002
-0.94195,-0.003707081
0.915214,-0.00037693977
0.961123,0.2685738
0.912119,0.046840966
0.961621,0.00080341846
-0.920461,-0.0012097955
-0.868427,-0.0010399222
-0.928048,-0.041659534
-0.91699,-0.025416732
-1.01371,0.006270595
0.963924,0.014803946
-0.96671,0.011595443
-0.86906,-0.025868297
1.00298,-0.0058083534
0.66928,0.0019694865
-0.954493,-0.007916272
-0.925271,0.035879433
0.94221,0.08577931
-0.88572,-0.06475508
0.893011,-0.0013986826
0.908801,0.05137551
-0.998651,-0.00788866
0.983064,-0.003858149
-0.934019,-0.00080281496
0.89907,-0.0012062192
-0.865992,-0.0009331107
0.903831,0.006215334
0.965027,0.0016015768
-0.841814,-0.006913781
0.84724,-0.0041598678
0.664334,0.049623907
-0.933277,0.0007776022
0.877134,-0.00016137958
